"State/UT","2001","2002","2003","2004","2005","2006+","2007+","2008++","2009++","2010","2011(P)**"
"Andhra Pradesh","634580","NA","1240195","1115448","1386267","11133691","13260133","18439121","21791695","NA","NA"
"Arunachal Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam","20388","430247","9467","77329","NA","1357989","NA","NA","NA","NA","802963"
"Bihar","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Chhatisgarh*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Goa","NA","NA","31021","82555","41559","57632","121184","NA","NA","126841","36284"
"Gujarat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Haryana","NA","NA","NA","NA","NA","10890024","NA","NA","2516364","5584618","4390073"
"Himachal Pradesh","22306","49332","NA","NA","NA","NA","1004478","1502313","1428331","2944805","3851397"
"Jammu and Kashmir","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Jharkhand","NA","NA","NA","3457561","3526987","NA","8115560","NA","NA","NA","NA"
"Karnataka","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","27966441"
"Kerala","NA","NA","NA","NA","NA","NA","7215","286242","NA","NA","1751859"
"Madhya Pradesh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Maharashtra","76814","177075","62777","42301","27996","NA","NA","NA","NA","NA","NA"
"Manipur","4098","NA","NA","4167","NA","NA","19500","NA","36990","33490","NA"
"Meghalaya","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Mizoram","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","453662"
"Nagaland","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Orissa","109130","10816","24041","14327","10709","40165","34593","58424","NA","NA","NA"
"Punjab","NA","NA","NA","NA","NA","5222610","44933254","4794677","2598215","NA","5639552"
"Rajasthan","51057","63542","73068","58845","45005","1332193","NA","NA","NA","4046892","NA"
"Sikkim","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Tamil Nadu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","181199904"
"Tripura","14169","19089","16436","33426","77285","143305","NA","NA","258216","83518","665942"
"Uttarakhand*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Uttar Pradesh","NA","NA","NA","NA","NA","NA","1542534","NA","NA","NA","NA"
"West Bengal","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"A. and N. Islands","NA","NA","NA","NA","NA","NA","NA","NA","17858","11700","78826"
"Chandigarh","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"D. and N. Haveli","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Daman and Diu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Delhi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lakshadweep","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Puducherry","270760","NA","NA","NA","NA","NA","NA","721559","NA","NA","1285519"
